recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,57420,32922,160102,30285,Hong Kong,2015,1,0,0,0.018336253652417044,0.014230739898567468,0.016028298236887194,129817,0.013524311611007556
Corporations,3768,47625,777242,534268,Hong Kong,2015,1,0,0,0.002906194899068437,0.002090292564204323,0.006822737387985246,242974,0.001292439381218489
Individuals,5279,1337,12703,381,Hungary,2015,0,0,0,2.306789711596795e-4,0.001129111996923852,0.0014735873631579154,12322,0.0012837037342631173
Corporations,517,2648,1658836,839428,Hungary,2015,0,0,0,0.004566137915306962,0.004461226434024979,9.361346150712241e-4,819408,0.004358635773726734
Individuals,98813,17211,278166,3640,India,2015,0,0,0,0.002203862086669904,0.024724912834473763,0.02758279752144783,274526,0.028600069092056205
Corporations,1535,32929,2704304,60002,India,2015,0,0,0,3.263858332033817e-4,0.007272878386072816,0.0027794325611882574,2644302,0.01406570267038783
Individuals,9886,2164,21315,1993,Indonesia,2015,0,0,0,0.001206675038113494,0.0018945935774566562,0.0027595917166469315,19322,0.002012962469845151
Corporations,205,339,8458,7114,Indonesia,2015,0,0,0,3.8697190383801496e-5,2.2746705026285462e-5,3.7119457657563043e-4,1344,7.149071622303823e-6
Individuals,252294,9516,101798,3628,Ireland,2015,0,0,0,0.0021965966072633,0.00904836204541087,0.07042569619256736,98170,0.010227332867441182
Corporations,13976,919553,20322759,13903122,Ireland,2015,0,0,0,0.07562718006230237,0.05465545096870278,0.025306416596200053,6419637,0.03414765230817831
Individuals,44701,16951,159265,41953,Israel,2015,0,0,0,0.025400721462105074,0.014156342768643413,0.012477898980966465,117312,0.012221542969799937
Corporations,4855,46001,513352,280800,Israel,2015,0,0,0,0.0015274347848989963,0.001380594291635575,0.008790973996461882,232552,0.0012370021606473204
Individuals,64283,10425,362722,12759,Italy,2015,0,0,0,0.007725020979071786,0.03224071178054109,0.017944045551407516,349963,0.036459082125785046
Corporations,3157,33528,735422,275038,Italy,2015,0,0,0,0.0014960919101461901,0.0019778230437267567,0.005716396479264709,460384,0.0024488974626210736
Individuals,4295,2253,13937,779,Jamaica,2015,0,0,0,4.716507048120481e-4,0.0012387966544223983,0.0011989122418570271,13158,0.001370798063255486
Corporations,479,364,237673,235696,Jamaica,2015,0,0,0,0.0012820878527833115,6.391910172277542e-4,8.673278155108634e-4,1977,1.0516156694415668e-5
Individuals,175835,18224,795682,26224,Japan,2015,0,0,0,0.01587749432989878,0.07072456049251077,0.04908282515644479,769458,0.0801619954519258
Corporations,8160,92543,29657990,13035120,Japan,2015,0,0,0,0.07090561151471726,0.07976135613650082,0.01477535485296168,16622870,0.08842119657607556
Individuals,413,1949,7418,757,Jersey,2015,0,0,0,4.5833065923327394e-4,6.593523414296728e-4,1.1528539135901099e-4,6661,6.939417768159897e-4
Corporations,4063,64112,2416981,1987858,Jersey,2015,0,0,0,0.01081311772307603,0.006500160068708496,0.007356895437203837,429123,0.0022826123971561633
Individuals,36606,11374,104041,3355,"Korea, Republic of (South)",2015,0,0,0,0.002031306950763057,0.009247732131933755,0.010218249482053163,100686,0.010489449292973237
Corporations,1447,114215,1177615,422963,"Korea, Republic of (South)",2015,0,0,0,0.0023007421614146518,0.003167044341396211,0.0026200904990484743,754652,0.00401418243892472
Individuals,2025,998,4342,467,Kuwait,2015,0,0,0,0.00028274824024034203,3.859406668222755e-4,5.652613014576204e-4,3875,4.036968000543402e-4
Corporations,609,1663,23489,14459,Kuwait,2015,0,0,0,7.865092434065025e-5,6.317064960539361e-5,0.0011027194982173606,9030,4.803282496235381e-5
Individuals,196,108,778,14,Libya,2015,0,0,0,8.4763926410380925e-06,6.915288779081767e-5,5.471171115342894e-5,764,7.959338199781056e-5
Corporations,11,2803,27450,18106,Libya,2015,0,0,0,9.848908196360837e-5,7.382325052867532e-5,1.9917757767472854e-5,9344,4.970306937411229e-5
